ip;int;mac;exp;vrf
10.4.92.240;Vlan992;00:1a:79:0f:80:b0;0;IP-TV
10.4.92.242;Vlan992;e4:27:71:00:b2:ec;73;IP-TV
10.4.92.244;Vlan992;e4:27:71:62:74:5b;184;IP-TV
10.4.92.249;Vlan992;1c:bb:a8:1a:7b:17;7;IP-TV
10.4.92.250;Vlan992;e4:27:71:47:9c:78;53;IP-TV
10.4.92.253;Vlan992;e4:27:71:03:a8:23;4;IP-TV
10.4.93.0;Vlan992;e4:27:71:52:aa:20;0;IP-TV
10.4.93.7;Vlan992;e4:27:71:40:c5:c0;12;IP-TV
10.4.93.18;Vlan992;e4:27:71:25:66:db;44;IP-TV
10.4.93.23;Vlan992;e4:27:71:0c:0f:30;3;IP-TV
10.4.93.26;Vlan992;ec:4c:4d:6b:2e:08;206;IP-TV
10.4.93.36;Vlan992;e4:27:71:44:c1:3d;2;IP-TV
10.4.93.40;Vlan992;e4:27:71:11:25:99;2;IP-TV
10.4.93.42;Vlan992;e4:27:71:cb:86:61;77;IP-TV
10.4.93.44;Vlan992;00:02:9b:9f:63:64;214;IP-TV
10.4.93.54;Vlan992;e4:27:71:01:b3:c8;1;IP-TV
10.4.93.64;Vlan992;e4:27:71:03:ad:11;243;IP-TV
10.4.93.74;Vlan992;e4:27:71:20:0b:a5;1;IP-TV
10.4.93.79;Vlan992;e4:27:71:12:3c:57;228;IP-TV
10.4.93.81;Vlan992;5c:e3:0e:96:9f:08;0;IP-TV
10.4.93.87;Vlan992;00:02:9b:a0:11:d0;8;IP-TV
10.4.93.100;Vlan992;e4:27:71:60:28:e0;104;IP-TV
10.4.93.103;Vlan992;ec:4c:4d:72:2e:81;0;IP-TV
10.4.93.105;Vlan992;e4:27:71:0c:8b:3e;170;IP-TV
10.4.93.109;Vlan992;e4:27:71:1f:27:b6;85;IP-TV
10.4.93.116;Vlan992;e4:27:71:12:1a:6c;2;IP-TV
10.4.93.117;Vlan992;1c:bb:a8:27:d6:39;4;IP-TV
10.4.93.119;Vlan992;e4:27:71:5c:73:a9;265;IP-TV
10.4.93.123;Vlan992;e4:27:71:09:4a:4b;3;IP-TV
10.4.93.126;Vlan992;e4:27:71:65:b3:64;126;IP-TV
10.4.93.127;Vlan992;e4:27:71:20:21:69;149;IP-TV
10.4.93.128;Vlan992;e4:27:71:60:1b:68;206;IP-TV
10.4.93.134;Vlan992;e4:27:71:12:3c:52;228;IP-TV
10.4.93.135;Vlan992;e4:27:71:0f:c9:68;187;IP-TV
10.4.93.137;Vlan992;ec:4c:4d:66:5e:36;211;IP-TV
10.4.93.155;Vlan992;ec:4c:4d:66:88:21;93;IP-TV
10.4.93.157;Vlan992;ec:4c:4d:66:91:88;18;IP-TV
10.4.93.158;Vlan992;e4:27:71:40:75:0f;80;IP-TV
10.4.93.161;Vlan992;ec:4c:4d:f6:d0:8d;152;IP-TV
10.4.93.162;Vlan992;ec:4c:4d:74:28:9a;83;IP-TV
10.4.93.165;Vlan992;ec:4c:4d:72:2c:4a;1;IP-TV
10.4.93.169;Vlan992;ec:4c:4d:66:c7:96;140;IP-TV
10.4.93.175;Vlan992;1c:bb:a8:27:6c:01;157;IP-TV
10.4.93.176;Vlan992;e4:27:71:1f:ec:6d;137;IP-TV
10.4.93.191;Vlan992;ec:4c:4d:f2:e0:95;104;IP-TV
10.4.93.197;Vlan992;e4:27:71:65:b7:33;198;IP-TV
10.4.93.198;Vlan992;ec:4c:4d:6b:32:9d;106;IP-TV
10.4.93.215;Vlan992;1c:bb:a8:13:7f:3d;78;IP-TV
10.4.93.223;Vlan992;e4:27:71:48:01:50;23;IP-TV
10.4.93.231;Vlan992;e4:27:71:47:cb:8a;244;IP-TV
10.4.93.232;Vlan992;e4:27:71:40:ab:29;4;IP-TV
10.4.93.233;Vlan992;e4:27:71:0c:b8:e7;19;IP-TV
10.4.93.239;Vlan992;00:02:9b:93:5d:74;0;IP-TV
10.4.93.243;Vlan992;1c:bb:a8:23:59:56;3;IP-TV
10.4.93.248;Vlan992;ec:4c:4d:66:c9:82;10;IP-TV
10.4.94.11;Vlan992;e4:27:71:25:0c:f4;0;IP-TV
10.4.94.22;Vlan992;e4:27:71:20:03:22;3;IP-TV
10.4.94.29;Vlan992;ec:4c:4d:72:2c:e0;187;IP-TV
10.4.94.33;Vlan992;e4:27:71:4d:0d:af;44;IP-TV
10.4.94.41;Vlan992;ec:4c:4d:66:c9:c5;231;IP-TV
10.4.94.46;Vlan992;00:1a:79:24:1c:c6;2;IP-TV
10.4.94.48;Vlan992;00:1a:79:0f:8c:e6;173;IP-TV
10.4.94.50;Vlan992;ec:4c:4d:72:2e:69;51;IP-TV
10.4.94.52;Vlan992;1c:bb:a8:1a:a2:82;1;IP-TV
10.4.94.62;Vlan992;5c:e3:0e:95:a7:99;152;IP-TV
10.4.94.65;Vlan992;e4:27:71:08:e7:45;2;IP-TV
10.4.94.72;Vlan992;e4:27:71:57:ff:99;0;IP-TV
10.4.94.73;Vlan992;ec:4c:4d:66:ca:0d;13;IP-TV
10.4.94.75;Vlan992;00:1a:79:12:e8:fd;0;IP-TV
10.4.94.76;Vlan992;00:02:9b:89:53:fe;1;IP-TV
10.4.94.81;Vlan992;1c:bb:a8:0d:f3:40;2;IP-TV
10.4.94.82;Vlan992;ec:4c:4d:f6:d2:38;0;IP-TV
10.4.94.84;Vlan992;e4:27:71:02:81:a5;2;IP-TV
10.4.94.86;Vlan992;00:1a:79:13:2e:bb;1;IP-TV
10.4.94.94;Vlan992;ec:4c:4d:6b:2e:df;4;IP-TV
10.4.94.95;Vlan992;00:02:9b:89:25:ce;1;IP-TV
10.4.94.98;Vlan992;1c:bb:a8:06:23:54;4;IP-TV
10.4.94.99;Vlan992;e4:27:71:47:df:b2;4;IP-TV
10.4.94.100;Vlan992;e4:27:71:24:f9:67;193;IP-TV
10.4.94.106;Vlan992;e4:27:71:02:72:ae;0;IP-TV
10.4.94.114;Vlan992;20:e5:64:f0:a0:c3;0;IP-TV
10.4.94.119;Vlan992;e4:27:71:5f:ed:a0;11;IP-TV
10.4.94.132;Vlan992;00:02:9b:89:4f:e2;1;IP-TV
10.4.94.140;Vlan992;00:1a:79:0c:fb:14;4;IP-TV
10.4.94.148;Vlan992;e4:27:71:09:5f:5e;0;IP-TV
10.4.94.155;Vlan992;e4:27:71:5d:2e:94;183;IP-TV
10.4.94.160;Vlan992;00:1a:79:13:36:82;0;IP-TV
10.4.94.162;Vlan992;00:1a:79:0f:86:c8;0;IP-TV
10.4.94.170;Vlan992;ec:4c:4d:72:27:ad;142;IP-TV
10.4.94.174;Vlan992;e4:27:71:62:7b:20;65;IP-TV
10.4.94.195;Vlan992;e4:27:71:18:fb:26;177;IP-TV
10.4.94.196;Vlan992;e4:27:71:02:7d:01;69;IP-TV
10.4.94.203;Vlan992;e4:27:71:4d:57:e9;50;IP-TV
10.4.94.204;Vlan992;1c:bb:a8:24:66:7c;0;IP-TV
10.4.94.209;Vlan992;e4:27:71:29:7d:02;0;IP-TV
10.4.94.212;Vlan992;e4:27:71:12:2d:0b;7;IP-TV
10.4.94.216;Vlan992;1c:bb:a8:23:5a:2b;1;IP-TV
10.4.94.221;Vlan992;e4:27:71:5c:6e:82;7;IP-TV
10.4.94.222;Vlan992;e4:27:71:11:17:11;5;IP-TV
10.4.94.225;Vlan992;1c:bb:a8:05:78:dd;1;IP-TV
10.4.94.228;Vlan992;e4:27:71:11:25:3c;181;IP-TV
10.4.94.231;Vlan992;e4:27:71:40:66:52;243;IP-TV
10.4.94.237;Vlan992;1c:bb:a8:04:68:a4;0;IP-TV
10.4.94.238;Vlan992;e4:27:71:10:6d:a8;24;IP-TV
10.4.94.239;Vlan992;1c:bb:a8:23:66:dc;1;IP-TV
10.4.94.241;Vlan992;e4:27:71:24:f7:4f;203;IP-TV
10.4.94.243;Vlan992;ec:4c:4d:66:86:45;162;IP-TV
10.4.94.245;Vlan992;e4:27:71:10:49:35;132;IP-TV
10.4.94.247;Vlan992;00:1a:79:13:c7:5b;1;IP-TV
10.4.94.248;Vlan992;e4:27:71:03:6d:9a;28;IP-TV
10.4.95.17;Vlan992;1c:bb:a8:23:61:e7;9;IP-TV
10.4.95.21;Vlan992;e4:27:71:0a:1b:b0;3;IP-TV
10.4.95.24;Vlan992;1c:bb:a8:1a:4e:50;3;IP-TV
10.4.95.28;Vlan992;e4:27:71:03:94:76;2;IP-TV
10.4.95.33;Vlan992;e4:27:71:20:03:25;89;IP-TV
10.4.95.35;Vlan992;38:6b:bb:d3:a4:a4;0;IP-TV
10.4.95.41;Vlan992;e4:27:71:44:be:52;5;IP-TV
10.4.95.47;Vlan992;20:e5:64:f0:94:65;0;IP-TV
10.4.95.50;Vlan992;e4:27:71:25:21:b4;185;IP-TV
